id,airport_name,country,city,code
2649,Kuwait International Airport,KW,Kuwait City,KWI
2650,Beirut Rafic Hariri International Airport,LB,Beirut,BEY
2651,Rene Mouawad Air Base / Kleyate Airport,LB,Tripoli,KYE
2652,Duqm International Airport,OM,Duqm,DQM
2653,Mussanah Airport,OM,Al Masna'ah,MNH
2654,Zayed International Airport,AE,Abu Dhabi,AUH
2655,Al Bateen Executive Airport,AE,Abu Dhabi,AZI
2656,Al Ain International Airport,AE,Al Ain,AAN
2657,Sir Bani Yas Airport,AE,Sir Bani Yas,XSB
2658,Dubai International Airport,AE,Dubai,DXB
2659,Al Minhad Air Base,AE,Dubai,NHD
2660,Al Maktoum International Airport,AE,Jebel Ali,DWC
2661,Fujairah International Airport,AE,Fujairah,FJR
2662,Ras Al Khaimah International Airport,AE,Ras Al Khaimah,RKT
2663,Sharjah International Airport,AE,Sharjah,SHJ
2664,Khasab Airport,OM,Khasab,KHS
2665,RAFO Masirah,OM,Masirah,MSH
2666,Muscat International Airport,OM,Muscat,MCT
2667,Salalah Airport,OM,Salalah,SLL
2668,Thumrait Air Base,OM,Thumrait,TTH
2669,Bahawalpur Airport,PK,Bahawalpur,BHV
2670,Chitral Airport,PK,Chitral,CJL
2671,Dera Ghazi Khan Airport,PK,Dera Ghazi Khan,DEA
2672,Dera Ismael Khan Airport,PK,Dera Ismael Khan,DSK
2673,Faisalabad International Airport,PK,Faisalabad,LYP
2674,Gwadar International Airport,PK,Gwadar,GWD
2675,Gilgit Airport,PK,Gilgit,GIL
2676,Islamabad International Airport,PK,Attock,ISB
2677,Shahbaz Air Base,PK,Jacobabad,JAG
2678,Jinnah International Airport,PK,Karachi,KHI
2679,Allama Iqbal International Airport,PK,Lahore,LHE
2680,Mangla Airport,PK,Mangla,XJM
2681,Muzaffarabad Airport,PK,Muzaffarabad,MFG
2682,Mianwali Air Base,PK,Mianwali,MWD
2683,Moenjodaro Airport,PK,Moenjodaro,MJD
2684,Minhas Air Base,PK,Kamra,ATG
2685,Multan International Airport,PK,Multan,MUX
